Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity
6.77,0.99,6.75,0.99,6.75,0.98,6.78,0.98,6.77,0.98,6.74,0.98,6.76,0.99,6.74,0.98,6.78,0.98
7.24,0.90,7.24,0.91,7.24,0.90,7.23,0.89,7.24,0.90,7.24,0.90,7.24,0.89,7.23,0.91,7.24,0.88
7.26,0.84,7.25,0.84,7.25,0.85,7.25,0.84,7.26,0.82,7.25,0.81,7.26,0.82,7.26,0.84,7.26,0.82
7.25,0.84,7.25,0.83,7.26,0.83,7.25,0.85,7.26,0.84,7.25,0.83,7.24,0.84,7.25,0.82,7.26,0.82
7.25,0.84,7.25,0.82,7.25,0.84,7.26,0.83,7.26,0.82,7.25,0.82,7.26,0.84,7.25,0.83,7.25,0.82
7.25,0.84,7.25,0.82,7.25,0.85,7.25,0.84,7.25,0.81,7.25,0.85,7.26,0.83,7.25,0.82,7.25,0.83
7.25,0.84,7.25,0.83,7.25,0.83,7.25,0.83,7.25,0.82,7.25,0.83,7.25,0.85,7.25,0.83,7.25,0.83
7.25,0.84,7.25,0.82,7.25,0.84,7.25,0.83,7.25,0.81,7.26,0.83,7.25,0.83,7.25,0.82,7.25,0.83
7.25,0.83,7.25,0.83,7.25,0.85,7.26,0.81,7.25,0.83,7.26,0.83,7.25,0.84,7.25,0.82,7.25,0.82
7.25,0.82,7.25,0.82,7.25,0.85,7.25,0.83,7.25,0.84,7.25,0.83,7.25,0.82,7.25,0.86,7.25,0.82
7.25,0.84,7.25,0.83,7.25,0.82,7.25,0.84,7.25,0.82,7.26,0.81,7.25,0.82,7.25,0.82,7.26,0.82
7.26,0.82,7.25,0.82,7.25,0.85,7.25,0.84,7.26,0.83,7.25,0.82,7.25,0.83,7.25,0.83,7.26,0.83
7.26,0.84,7.26,0.83,7.25,0.83,7.25,0.84,7.26,0.83,7.25,0.83,7.25,0.82,7.25,0.82,7.25,0.84
7.26,0.84,7.25,0.82,7.26,0.83,7.25,0.84,7.25,0.84,7.25,0.83,7.26,0.84,7.25,0.82,7.25,0.82
7.25,0.82,7.25,0.83,7.25,0.82,7.25,0.85,7.24,0.82,7.25,0.85,7.25,0.85,7.25,0.83,7.25,0.82
7.25,0.84,7.26,0.83,7.25,0.84,7.26,0.84,7.25,0.82,7.25,0.84,7.25,0.83,7.25,0.84,7.25,0.84
7.26,0.85,7.26,0.81,7.25,0.82,7.25,0.84,7.25,0.84,7.25,0.84,7.25,0.84,7.25,0.82,7.25,0.84
7.25,0.85,7.25,0.83,7.25,0.84,7.25,0.84,7.26,0.84,7.25,0.85,7.26,0.84,7.25,0.81,7.25,0.83
7.25,0.84,7.25,0.82,7.25,0.83,7.25,0.82,7.25,0.83,7.25,0.84,7.25,0.83,7.25,0.85,7.26,0.82
7.25,0.85,7.25,0.83,7.25,0.83,7.25,0.84,7.25,0.84,7.26,0.81,7.25,0.81,7.24,0.83,7.25,0.82
7.26,0.84,7.26,0.84,7.25,0.85,7.26,0.84,7.25,0.84,7.25,0.83,7.26,0.84,7.26,0.81,7.25,0.83
7.25,0.83,7.25,0.84,7.25,0.84,7.25,0.82,7.25,0.81,7.25,0.81,7.26,0.83,7.25,0.82,7.26,0.82
7.25,0.83,7.25,0.84,7.25,0.83,7.25,0.85,7.25,0.80,7.25,0.80,7.26,0.84,7.25,0.82,7.25,0.84
7.25,0.84,7.25,0.82,7.25,0.83,7.25,0.83,7.26,0.83,7.25,0.83,7.25,0.83,7.25,0.82,7.25,0.83
7.25,0.84,7.25,0.84,7.25,0.82,7.26,0.85,7.25,0.82,7.25,0.83,7.25,0.83,7.25,0.82,7.25,0.80
7.25,0.85,7.25,0.83,7.25,0.86,7.25,0.83,7.26,0.83,7.26,0.82,7.25,0.83,7.25,0.81,7.25,0.85
7.25,0.83,7.25,0.84,7.25,0.84,7.25,0.83,7.25,0.83,7.25,0.85,7.25,0.83,7.25,0.83,7.25,0.82
7.25,0.85,7.25,0.83,7.25,0.85,7.26,0.84,7.25,0.81,7.25,0.82,7.26,0.81,7.25,0.83,7.25,0.83
7.25,0.84,7.25,0.83,7.25,0.85,7.25,0.84,7.25,0.82,7.25,0.82,7.25,0.84,7.25,0.82,7.25,0.84
7.26,0.86,7.25,0.82,7.25,0.83,7.25,0.85,7.25,0.81,7.25,0.82,7.25,0.84,7.25,0.81,7.25,0.84
7.25,0.83,7.25,0.81,7.25,0.84,7.25,0.83,7.25,0.82,7.25,0.83,7.25,0.84,7.25,0.83,7.25,0.84
7.25,0.84,7.25,0.82,7.25,0.82,7.25,0.85,7.26,0.82,7.25,0.84,7.25,0.84,7.26,0.80,7.25,0.81
7.25,0.85,7.26,0.82,7.25,0.84,7.25,0.84,7.25,0.83,7.25,0.86,7.26,0.82,7.25,0.81,7.25,0.84
7.25,0.83,7.25,0.80,7.25,0.85,7.25,0.82,7.26,0.84,7.25,0.83,7.25,0.84,7.26,0.81,7.25,0.83
7.25,0.82,7.25,0.85,7.25,0.83,7.25,0.83,7.26,0.82,7.25,0.84,7.25,0.86,7.25,0.80,7.25,0.85
7.25,0.84,7.25,0.83,7.25,0.84,7.25,0.82,7.25,0.83,7.25,0.84,7.26,0.84,7.25,0.81,7.26,0.81
7.25,0.82,7.25,0.83,7.25,0.86,7.25,0.83,7.25,0.81,7.25,0.82,7.26,0.85,7.25,0.82,7.25,0.83
7.25,0.83,7.26,0.83,7.25,0.83,7.25,0.82,7.25,0.82,7.25,0.82,7.25,0.83,7.26,0.82,7.25,0.81
7.25,0.83,7.25,0.81,7.25,0.84,7.26,0.84,7.25,0.82,7.26,0.83,7.25,0.83,7.26,0.82,7.25,0.84
7.25,0.85,7.25,0.82,7.25,0.83,7.26,0.83,7.25,0.84,7.25,0.85,7.25,0.82,7.25,0.80,7.26,0.84
7.25,0.84,7.25,0.83,7.25,0.84,7.26,0.85,7.25,0.82,7.25,0.83,7.25,0.83,7.25,0.81,7.25,0.84
7.25,0.83,7.25,0.82,7.26,0.85,7.25,0.81,7.25,0.83,7.25,0.84,7.25,0.82,7.25,0.82,7.25,0.84
7.25,0.84,7.25,0.82,7.26,0.84,7.25,0.83,7.25,0.83,7.26,0.82,7.25,0.84,7.25,0.80,7.25,0.84
7.25,0.82,7.25,0.84,7.25,0.83,7.25,0.82,7.25,0.83,7.25,0.83,7.25,0.84,7.25,0.80,7.26,0.84
7.25,0.85,7.24,0.83,7.25,0.83,7.25,0.83,7.25,0.80,7.25,0.83,7.25,0.85,7.25,0.84,7.25,0.85
7.26,0.84,7.25,0.82,7.25,0.83,7.25,0.85,7.25,0.82,7.26,0.84,7.25,0.84,7.25,0.84,7.25,0.85
7.25,0.84,7.25,0.83,7.25,0.83,7.26,0.84,7.25,0.80,7.26,0.84,7.25,0.84,7.25,0.82,7.26,0.82
7.25,0.83,7.26,0.84,7.25,0.84,7.25,0.86,7.26,0.81,7.25,0.83,7.25,0.85,7.25,0.82,7.26,0.83
7.25,0.84,7.25,0.82,7.25,0.82,7.26,0.84,7.25,0.84,7.25,0.82,7.25,0.83,7.25,0.81,7.25,0.84
7.25,0.82,7.25,0.81,7.25,0.84,7.25,0.83,7.25,0.82,7.26,0.82,7.25,0.83,7.26,0.80,7.26,0.83
